Function,PrepareEnlargedWorkSpace,#,,,,
Move,HelpRobot,FALSE,320,120,0,#
Run,#,,,,,
Wait,60,#,,,,
Act,BoxRobot,Blink,#,,,
Text,箱型ロボット,BoxRobotQuestionIcon,8,なぜ、施設を出たいのですか？,#,
Wait,30,#,,,,
Act,HelpRobot,ArmUp,#,,,
Wait,30,#,,,,
Text,お手伝いロボット,HelpRobotIcon,5,僕を作った「ハカセ」が悪い人だからだよ。,#,
Init,HelpRobot,Mirror,#,,,
Move,HelpRobot,TRUE,360,120,60,#
Text,お手伝いロボット,HelpRobotIcon,5,無理やり働かせようとしたり…,#,
Init,HelpRobot,Mirror,#,,,
Act,HelpRobot,ArmDown,#,,,
Move,HelpRobot,TRUE,320,120,60,#
Text,お手伝いロボット,HelpRobotIcon,5,言うことを聞かないロボットの心を書き換えたり…,#,
Text,お手伝いロボット,HelpRobotIcon,5,僕はハカセから自由になるために\nこの施設から脱出するんだ。,#,
Scene,SavingDataScene,Stage1,#,,,
