Function,PrepareEnlargedWorkSpace,#,,,,
Generate,RoadBack,Road,0,0,#,
Generate,Accompany,Zoo,60,120,#,
Run,#,,,,,
Hide,Road,TRUE,#,,,
Hide,Zoo,TRUE,#,,,
Move,HelpRobot,FALSE,320,120,0,#
Run,#,,,,,
Text,箱型ロボット,BoxRobotIcon,8,玄関、開きました。,#,
Dark,TRUE,#,,,,
Background,WhiteBack,#,,,,
Hide,BoxRobot,TRUE,#,,,
Hide,HelpRobot,TRUE,#,,,
Hide,Road,FALSE,#,,,
Init,Road,Scroll,#,,,
Hide,Zoo,FALSE,#,,,
Init,Zoo,Mirror,#,,,
Wait,30,#,,,,
Dark,FALSE,#,,,,
Wait,30,#,,,,
Text,箱型ロボット,BoxRobotQuestionIcon,8,ハカセは何処にいるんですか？,#,
Text,お手伝いロボット,HelpRobotIcon,5,わかんない。,#,
Text,お手伝いロボット,HelpRobotIcon,5,僕と喧嘩した後、\n施設のカギを全部閉めてどこかに行っちゃった。,#,
Wait,60,#,,,,
Text,お手伝いロボット,HelpRobotIcon,5,もうそろそろ玄関ゲートに着くよ。,#,
Act,Road,Entrance,#,,,
Wait,60,#,,,,
Text,お手伝いロボット,HelpRobotIcon,10,し、閉まってる…。,#,
Wait,60,#,,,,
Scene,LoadEventScene,Stage2End,#,,,
