Function,PrepareDiary,#,,,,
Generate,RoadBack,Road,0,0,#,
Run,#,,,,,
Init,BoxRobot,Sleep,#,,,
Hide,BoxRobot,FALSE,#,,,
Hide,HelpRobot,FALSE,#,,,
Init,BoxRobot,Sleep,#,,,
Hide,Road,TRUE,#,,,
Init,Road,Entrance,#,,,
Run,#,,,,,
Wait,30,#,,,,
Text,ハカセ,DoctorIcon,5,お手伝いロボットの調整がうまくいかない。,#,
Act,HelpRobot,ArmUp,#,,,
Init,HelpRobot,Mirror,#,,,
Move,HelpRobot,FALSE,640,220,240,#
Text,ハカセ,DoctorIcon,5,命令を拒否するようになり、\nココロの調整を嫌がるようになった。,#,
Text,ハカセ,DoctorIcon,5,最近、暴力的な言動も目立ってきた。,#,
Text,ハカセ,DoctorIcon,5,施設の外に出たがっているが、\n未完成のまま外に出せば何をするか分からない。,#,
Init,HelpRobot,Mirror,#,,,
Move,HelpRobot,FALSE,400,220,240,#
Text,ハカセ,DoctorIcon,5,これ以上の開発は危険だ。\n一度中断して方針を変えるべきかもしれない。,#,
Wait,30,#,,,,
Dark,TRUE,#,,,,
Hide,HelpRobot,TRUE,#,,,
Hide,TV,TRUE,#,,,
Hide,Road,FALSE,#,,,
Background,WhiteBack,#,,,,
Init,BoxRobot,Enlarged,#,,,
Move,BoxRobot,FALSE,160,262,0,#
Act,BoxRobot,Blink,#,,,
Shadow,FALSE,#,,,,
Dark,FALSE,#,,,,
Wait,30,#,,,,
Text,箱型ロボット,BoxRobotIcon,8,私達のココロは未完成…。,#,
Text,箱型ロボット,BoxRobotQuestionIcon,8,ハカセのやったことは、\n本当に悪いことだったのかな…。,#,
Wait,30,#,,,,
Scene,SavingDataScene,,#,,,
